Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,SESSION_ID,STUDY_ID,preview,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
Chrome,1920,947,1,1,120,100,45,1200,600,60,1,300,Agreed,3,0,3,0,1,2,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Agreed,3,0,3,0,1,2,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,const,200,-100,0,85,3.5,1,[],[],317.3,-59.5,12.5,3665,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,65,3.5,1,[],[],200.4,56,-1.5,3400,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,133,3.5,1,[],[],367.4,-157.5,-1.5,5016,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,104,3.5,0,[],[],300.6,-266,9,5283,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,-300,0,68,3.5,0,[],[],317.3,-231,-1.5,4267,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,137,3.5,0,[],[],317.3,238,12.5,5399,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,120,3.5,0,[],[],367.4,-213.5,-1.5,5332,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,148,3.5,0,[],[],434.2,-206.5,-1.5,6049,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,117,3.5,1,[],[],350.7,-157.5,5.5,4817,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,120,3.5,1,[],[],317.3,-157.5,-1.5,4900,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,127,3.5,0,[],[],417.5,-126,-5,5383,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,115,3.5,1,[],[],517.7,-157.5,2,5434,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,138,3.5,1,[],[],400.8,-59.5,19.5,4483,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,109,3.5,0,[],[],334,-3.5,-1.5,7067,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,67,3.5,0,[],[],617.9,171.5,23,4167,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,119,3.5,1,[],[],668,-157.5,-5,5117,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,113,3.5,1,[],[],384.1,-56,-1.5,4716,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,131,3.5,0,[],[],350.7,-224,9,5417,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,116,3.5,1,[],[],267.2,-157.5,2,5099,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,110,3.5,1,[],[],317.3,59.5,12.5,4183,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,100,3.5,0,[],[],317.3,-248.5,5.5,5033,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,90,3.5,1,[],[],384.1,-157.5,-12,4433,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,-300,0,62,3.5,0,[],[],350.7,-185.5,-5,4134,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,123,3.5,0,[],[],367.4,-210,26.5,5319,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,84,3.5,1,[],[],267.2,-66.5,26.5,3733,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,100,3.5,0,[],[],467.6,-192.5,2,4849,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,123,3.5,1,[],[],267.2,59.5,16,4300,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,88,3.5,0,[],[],317.3,-224,-5,4667,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,103,3.5,1,[],[],300.6,-56,5.5,4033,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,400,0,141,3.5,0,[],[],367.4,217,-15.5,5483,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,144,3.5,1,[],[],267.2,-56,5.5,4800,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,118,3.5,0,[],[],467.6,206.5,-15.5,5716,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,143,3.5,1,[],[],250.5,276.5,37,5683,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,200,0,99,3.5,1,[],[],551.1,157.5,5.5,4782,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,-300,0,80,3.5,1,[],[],250.5,-259,9,4449,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,400,0,79,3.5,0,[],[],300.6,266,12.5,4700,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,200,0,84,3.5,1,[],[],367.4,157.5,-5,4349,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,69,3.5,1,[],[],484.3,59.5,12.5,3700,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,-300,0,73,3.5,1,[],[],183.7,-259,-8.5,4499,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,132,3.5,0,[],[],400.8,-31.5,26.5,5566,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,140,3.5,1,[],[],350.7,66.5,26.5,5700,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,108,3.5,0,[],[],334,231,5.5,5166,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,400,0,102,3.5,0,[],[],267.2,259,-1.5,5049,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,200,0,66,3.5,1,[],[],334,157.5,-8.5,3917,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,300,0,68,3.5,0,[],[],467.6,224,9,4566,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
